Country Name,Country Code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136
Africa Eastern and Southern,AFE,9.62395E+11,9.78708E+11,8.98278E+11,8.28943E+11,9.72999E+11,1.01231E+12,1.00972E+12,9.33392E+11,1.08575E+12,1.19142E+12,1.24547E+12
Afghanistan,AFG,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17233051620
Africa Western and Central,AFW,8.36937E+11,8.97416E+11,7.71767E+11,6.94361E+11,6.87849E+11,7.70495E+11,8.26484E+11,7.89802E+11,8.49312E+11,8.83974E+11,7.99106E+11
Angola,AGO,1.32339E+11,1.35967E+11,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.044E+11,84824654482
Albania,ALB,12776224497,13228147516,11386853113,11861199831,13019726212,15379509892,15585105131,15241458745,18032010564,19017242586,23547179830
Andorra,AND,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573,3785067332
Arab World,ARB,2.85838E+12,2.90565E+12,2.5447E+12,2.50082E+12,2.5722E+12,2.86735E+12,2.89903E+12,2.56278E+12,2.96924E+12,3.60981E+12,3.51242E+12
United Arab Emirates,ARE,4.00219E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15179E+11,5.02732E+11,5.1413E+11
Argentina,ARG,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.86564E+11,6.3279E+11,6.46075E+11
Armenia,ARM,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592
American Samoa,ASM,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,
Antigua and Barbuda,ATG,1325425926,1378829630,1437755556,1489692593,1531151852,1661529630,1725351852,1410796296,1601366667,1867733333,2033085185
Australia,AUS,1.57712E+12,1.46827E+12,1.3513E+12,1.20684E+12,1.32558E+12,1.42781E+12,1.39272E+12,1.32841E+12,1.55674E+12,1.69086E+12,1.72806E+12
Austria,AUT,4.26581E+11,4.38556E+11,3.79546E+11,3.93687E+11,4.14926E+11,4.52582E+11,4.42984E+11,4.34398E+11,4.80467E+11,4.71774E+11,5.11685E+11
Azerbaijan,AZE,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78807470588,72356176471
Burundi,BDI,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261,2775798697,3338722828,2642161669
Belgium,BEL,5.24097E+11,5.37987E+11,4.61045E+11,4.74272E+11,5.00909E+11,5.42639E+11,5.36726E+11,5.29694E+11,5.98494E+11,5.93439E+11,6.44783E+11
Benin,BEN,12517845128,13284527850,11388160997,11821065852,12701655846,14262408080,14391686309,15651545209,17690083520,17401746309,19676049076
Burkina Faso,BFA,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813503,17725010533,19697516284,18820218691,20324617845
Bangladesh,BGD,1.49999E+11,1.72887E+11,1.95147E+11,2.65225E+11,2.93732E+11,3.21363E+11,3.51232E+11,3.73979E+11,4.16272E+11,4.60132E+11,4.37415E+11
Bulgaria,BGR,55852123990,57157782910,50811995689,53964253212,59309748166,66289266349,68631726289,70716821235,84417951261,90642851836,1.02408E+11
Bahrain,BHR,33823324468,34772526596,32523297872,33884680851,37204813830,39567978723,40446808511,35837632979,40840212766,46680398936,46079867021
"Bahamas, The",BHS,10395800000,10974100000,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000
Bosnia and Herzegovina,BIH,18179108531,18558733564,16404348871,17116926328,18326373366,20484053869,20482608755,20226036564,23672712242,24534663636,27514782476
Belarus,BLR,75527558966,78812805039,56454889147,47723545321,54725302250,60031173808,64410122847,61371755326,69673747132,73775179925,71857382746
Belize,BLZ,2032750000,2138250000,2193050000,2240200000,2266300000,2293250000,2388300000,2042850000,2420550000,2846700000,3066850000
Bermuda,BMU,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7286607000,7827980000,8141700000
Bolivia,BOL,30659338886,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844,36629843805,40406111695,44008282878,45135398009
Brazil,BRA,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12,1.67065E+12,1.95192E+12,2.17367E+12
