Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,3.750561346,4.8871356,4.61012241,6.562028493,5.170374146,2.808316701,3.950742871,3.874759767,2.460754086,1.356485906,1.030816853,0.935032935,0.692051827,1.138228939,2.135357818,2.590756656,1.796637852,0.74666479,0.76293347,0.678450763,0.230041096,0.736689418,1.46978229,1.492031397,1.0655121,1.023701031,0.757967559,0.007357607,0.158975971,0.270504633,-0.565684047,-0.820211083,-0.362774222
Africa Eastern and Southern,2.908029828,2.78887467,2.696188418,2.808198305,2.694992654,2.630243616,2.680503379,2.596752425,2.624682768,2.657593516,2.629362847,2.622438094,2.642102236,2.65366708,2.676564895,2.694131173,2.705723416,2.727991504,2.761070138,2.775044083,2.772256475,2.720982046,2.730115847,2.786358194,2.740997396,2.733523971,2.675919839,2.67727931,2.771986829,2.759056562,2.736283132,2.684848831,2.626658714
Afghanistan,1.434588211,1.591325884,8.15641941,11.80725911,8.388729602,4.89368012,4.005404674,3.804508034,3.764686638,3.72811604,1.212175976,0.762004897,5.252029585,6.145194002,3.575834854,3.51921696,4.092702017,1.89259754,2.186546182,3.646380908,2.934686702,3.691503084,4.047862563,3.418226676,3.632518847,3.119959241,2.535719918,2.808337308,2.910809599,2.984389136,3.153609203,2.356097792,1.43570437
Africa Western and Central,2.69709677,2.67823844,2.79426623,2.737630706,2.690170595,2.760442291,2.757931313,2.756376725,2.800172842,2.769313862,2.789522361,2.841151817,2.850646284,2.854146186,2.868948779,2.880290233,2.866396817,2.86216533,2.866384053,2.831726162,2.826188791,2.863081165,2.820299892,2.76880017,2.767930276,2.73612177,2.708955678,2.661086689,2.565989483,2.470060792,2.417945168,2.391988858,2.359680498
Angola,3.392403354,3.359054615,3.274142461,3.19559443,3.241689202,3.339988737,3.381608922,3.395515042,3.346795466,3.295276636,3.312287469,3.353709414,3.407476157,3.493342778,3.594457524,3.646268934,3.684892016,3.74258021,3.778289766,3.801561875,3.851098249,3.887945997,3.883583555,3.84998069,3.732728067,3.605071622,3.57644144,3.540612215,3.453233009,3.387884222,3.267958649,3.1813226,3.14302612
Albania,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,-0.926918062,-1.21579032
Andorra,3.831232878,7.453294682,6.04803216,4.97705409,2.095725883,-1.089301487,0.112591492,1.11281494,1.048578972,0.500412969,-0.038053199,0.253921086,0.988236937,4.383312427,6.732207545,4.081069274,2.756757126,2.839248826,1.956862869,0.469582601,-3.866965388,-3.689002364,-1.227564779,-2.157580998,-1.956673204,-2.142483826,0.009698313,2.16803975,1.878853322,1.730502969,1.177753549,1.263628895,1.696768086
Arab World,3.340860831,2.337987995,2.59158887,2.818622349,2.781062774,2.554663432,2.4715575,2.434801292,2.44931312,2.422400411,2.444843212,2.454092733,2.422253183,2.36907122,2.353741542,2.402135259,2.447973505,2.547956319,2.577576389,2.502858489,2.015187869,2.334195401,2.412343495,2.604545414,2.372841903,2.488480603,2.344680777,2.026530721,1.793576715,1.899837582,2.125212941,1.525900242,2.324007803
United Arab Emirates,5.878422879,5.553809971,5.247244011,4.952239975,4.66407381,4.471765524,6.47661449,8.124394045,7.617796946,7.157275754,6.735681701,6.376268946,6.075393205,5.784476952,5.487941577,5.187644319,7.121344103,11.58997989,11.38163441,6.21880036,2.398012041,3.359320963,3.958992142,3.999119788,4.652922109,5.383801622,4.930468948,3.173797859,1.329868733,1.054516344,-0.474850155,1.83513009,5.088341534
Argentina,1.491574629,1.43788007,1.3843812,1.353640186,1.340137575,1.310311508,1.257452179,1.214647959,1.175525632,1.153043172,1.133128076,1.097946728,1.069413183,1.033139977,1.01407652,1.027457722,1.028247605,0.991101935,1.012888785,1.059774707,1.056363322,1.064740097,1.027661364,0.99295899,1.031743579,1.047258887,0.968911126,0.881249595,0.82296948,0.710900853,0.484665637,0.265879395,0.210808731
Armenia,3.117463214,1.726196749,-1.172207953,-3.374718642,-2.602750464,-1.709495092,-0.875942923,-0.994517949,-1.173981559,-1.289761243,1.684784636,-0.289138848,-0.374321979,-0.54212564,-0.554559193,-0.586251738,-0.615288464,-0.631969382,-0.655422477,-0.685835846,-0.693856289,-0.556590763,-0.125578338,-0.06946627,-0.271712285,-0.305729336,-0.410212518,-0.43203845,-0.349674218,-0.219168932,-0.033760973,0.02700969,0.232656263
American Samoa,3.156059007,2.628110887,2.385585685,2.260245216,2.15371701,2.05671216,1.962795697,1.873517177,1.772216744,1.638293709,1.073368218,0.34764933,0.015773562,-0.159602956,-0.26891895,-0.354388346,-0.430123416,-0.464054457,-0.509197909,-0.538813761,-0.541732698,-0.604780137,-0.742342325,-0.890369493,-1.004921364,-1.105856451,-1.204318086,-1.269387464,-1.323023571,-1.382578863,-0.89627488,-1.082992017,-1.81008765
Antigua and Barbuda,-0.409839882,0.507699603,1.591694988,1.82017626,1.896908044,1.993667549,2.065370475,2.048911117,1.894595408,1.716933152,1.677272827,1.532673183,1.25800968,1.099962032,1.066400916,1.126772485,1.239600182,1.35546842,1.46768441,1.509440036,1.353468886,1.179143529,1.06918388,0.917165518,0.792860529,0.722892009,0.62438183,0.553103047,0.504979187,0.48055389,0.526173366,0.546161677,0.530270319
Australia,1.480046937,1.274621786,1.119597701,0.889539826,0.963092495,1.113734221,1.213854983,1.08203992,0.996734718,1.093975803,1.144472851,1.283968091,1.137538736,1.150192733,1.069198122,1.217290731,1.349450831,1.824996795,2.003911405,2.060833163,1.555706262,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.646827797,1.49599671,1.477490711,1.233428251,0.140895083,1.272698814
Austria,0.762001611,0.998418103,1.100552287,0.824627941,0.384869547,0.153106261,0.135019834,0.113316608,0.109728368,0.194563153,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.487071925,0.444673639,0.415176732,0.435671684,0.956287797
Azerbaijan,1.384413502,1.330445679,1.51162852,1.515806893,1.348475012,1.15566614,1.011799917,0.964673774,0.949138147,0.8775987,0.821519964,0.774765939,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.866316916,0.846646726,0.684365325,0.441197736,0.039507866
Burundi,2.086132695,2.069083492,2.673511096,-3.148245528,0.649848385,5.985774934,0.069046084,-0.007643807,1.910224803,2.396215721,2.077616304,2.5056866,2.820219489,3.159092771,3.727692861,3.714265528,3.601641763,3.698171675,4.125532069,5.066136077,4.681010573,3.577698548,3.568521478,3.591867093,3.394476867,2.268517293,1.72186004,2.350486271,3.018981828,3.283675314,2.908653025,2.724255395,2.705850089
Belgium,0.298235706,0.371593166,0.405713496,0.390638518,0.308197074,0.209436838,0.195393176,0.241991885,0.213527651,0.229189103,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242,0.506300002,0.385228018,0.455184695,0.540461327,0.430996815,0.411601997,0.80816535
Benin,3.072815262,3.084634226,3.089544602,4.436755529,3.74003045,2.114240089,2.616677187,2.952101985,3.082966821,3.093695847,3.076652652,3.054355066,3.040108016,3.049202597,3.061731061,3.220611997,3.120668883,2.955095547,3.019593985,2.999036422,2.984241628,2.977822028,2.9676654,2.948851601,2.955018759,2.953916277,2.924602167,2.881178694,2.813641884,2.735388428,2.662598752,2.592301675,2.547409263
Burkina Faso,2.634820616,2.536259179,2.466947508,2.486545721,2.521549528,2.563936977,2.558941118,2.577992452,2.764032209,2.93034622,2.984144224,3.050993511,3.090393083,3.118121744,3.145126087,3.146801491,3.120345375,3.032776372,2.938165228,2.919160259,2.925779475,2.956570784,3.017170749,3.000836393,2.97337942,2.961963065,2.925082514,2.852915955,2.697136754,2.52989804,2.435229593,2.376492189,2.309071474
Bangladesh,1.990333689,1.910610962,1.884873063,1.862772253,1.854179551,1.858255518,1.828051958,1.853490895,1.887961392,1.899517801,1.827328067,1.666893247,1.543406357,1.455305305,1.361547907,1.260665163,1.161167751,1.075642532,0.998440566,0.931892491,0.876530534,0.908525896,0.958355913,0.93840835,0.911167734,0.893819378,0.892432416,0.850917316,0.820955198,0.846411252,0.836310836,0.814977994,1.024233847
Bulgaria,-1.803750479,-0.99042598,-1.073853191,-0.797665852,-0.339586079,-0.4453985,-0.51572988,-0.608797355,-0.667302701,-0.560648225,-0.493896417,-1.990632204,-2.17069878,-0.792113638,-0.754796951,-0.752977445,-0.759505916,-0.735282284,-0.701922745,-0.644281363,-0.658275447,-0.641228921,-0.579220596,-0.559647217,-0.568389264,-0.638069468,-0.701382098,-0.730443175,-0.722080405,-0.703905641,-0.600241518,-0.814846472,-3.467810516
Bahrain,3.452489077,-2.307910372,2.630042422,2.630747606,2.632036999,2.631117701,2.633396955,2.635444946,2.634585613,2.634610151,2.63695278,3.654889294,7.181175095,7.320072177,7.461189823,7.604083038,7.747786313,7.892302403,5.994072321,6.568699333,4.165859919,-2.766599276,1.160087287,3.592930394,4.781043184,4.154221842,3.823163003,5.293145273,0.131482304,-1.294694377,-0.781611308,2.161028459,1.342219606
"Bahamas, The",1.742613867,1.719534496,1.833961802,1.875100412,1.759003451,1.656308246,1.581988108,1.502364721,1.425602806,1.337380677,1.312010913,1.227935653,1.145815857,1.200196652,1.233062706,1.202923486,1.294601545,1.413429943,1.345434054,1.301115549,1.278417166,1.150164125,1.001081704,0.923627563,0.878822236,0.79412228,0.700545016,0.62424741,0.569969444,0.497339073,0.300555038,0.128749532,0.293483989
Bosnia and Herzegovina,0.330285176,0.21760434,-5.148452131,-8.116752698,-4.69476743,-0.264696614,4.207866106,3.62316159,1.754673988,0.996375368,0.710877056,0.471676306,0.204698283,-0.226593575,-0.902366959,-1.08029234,-0.814268145,-1.234381805,-1.655112894,-1.731155394,-1.776659321,-1.844922166,-1.934379278,-1.627675761,-1.28296078,-1.306967133,-1.302677748,-1.28437068,-1.223135694,-1.231855065,-1.39008469,-1.663848602,-1.243638028
Belarus,0.190065083,0.046135586,0.219690718,0.220771793,-0.118196017,-0.32441483,-0.336671341,-0.415604443,-0.450435237,-0.450029843,-0.471131335,-0.512966688,-0.636565666,-0.699809191,-0.682169472,-0.68300556,-0.612296198,-0.458847536,-0.345415054,-0.245915441,-0.218522756,-0.234282914,-0.1566176,-0.03838,0.056151568,0.132853237,0.087721088,-0.109782323,-0.213824207,-0.201786601,-0.42347525,-0.828232721,-0.804228427
Belize,2.191797456,2.142113055,2.086192113,2.031244928,2.129527502,2.504328099,2.974720856,3.336791115,3.491845181,3.442264475,3.267092021,3.099324482,3.025679469,2.990282229,2.95389267,2.9174078,2.870835217,2.816045583,2.751726178,2.675470577,2.41171252,2.178474303,2.150867548,2.133975224,2.113176888,2.101441942,2.322312072,2.30310204,1.864598476,1.462845335,1.283235981,1.153470491,1.851248051
Bermuda,0.749864005,0.735660173,0.726863524,0.697818107,0.640625867,0.559300649,0.480983674,0.606719088,0.764803092,0.796633731,0.694526489,0.513706697,0.443516923,0.391880239,0.270527854,0.249070108,0.19594574,0.279711571,0.45918852,0.417767525,0.251394586,0.012553155,-0.136600246,-0.113189762,-0.070808717,-0.102367856,-0.02363824,0.203106496,0.39714672,0.431459657,0.42805286,0.412307799,0.156108751
